new_index,s_time,e_time,delta_time,old_index
87,1500,4860,0,56
88,1500,6420,0,91
89,1500,6000,0,142
90,1500,4500,0,47
91,1500,7260,0,101
92,1500,2580,1200,0
93,1500,2580,1200,1
94,1620,6060,1380,54
95,1800,6360,1800,52
96,1800,6480,1800,53
97,1800,5160,1800,25
98,1800,5220,1800,27
99,1800,3360,1800,2
100,1800,3360,1800,3
101,1800,5340,1440,36
102,1800,6300,0,88
103,1800,5460,900,48
104,1800,5460,900,49
105,1800,6300,1200,62
106,1800,6120,1800,41
107,1800,6540,0,92
108,1800,3060,0,18
109,1800,3060,0,20
110,1800,2820,0,15
111,1800,2820,0,16
112,1800,5880,1800,40
113,1800,6300,0,87
114,1800,5040,1800,21
115,1800,5880,1800,39
116,1800,4920,1200,32
117,1800,4920,1200,33
118,1800,9540,0,129
119,1800,6780,0,146
120,1800,4440,0,44
121,1800,4440,0,43
122,1800,6780,1800,57
123,1800,3960,1800,8
124,1800,3960,1800,9
125,1920,6540,900,77
126,1980,3480,1080,13
127,1980,3480,1080,12
128,2100,3300,0,22
129,2100,5580,0,74
130,2100,5580,0,73
131,2100,6840,1200,75
132,2100,5880,1500,42
133,2100,6720,900,82
134,2100,6600,0,93
135,2100,5100,1800,23
136,2100,6840,1200,76
137,2100,3300,0,24
138,2160,3360,1440,11
139,2160,3720,1440,10
140,2160,5400,2160,21
141,2160,5700,1800,36
142,2220,5880,1800,38
143,2280,7140,1320,80
144,2280,7140,1320,81
145,2400,8520,1200,103
146,2400,8520,1200,104
147,2400,6360,1800,51
148,2400,5760,1200,50
149,2400,5520,0,70
150,2520,6060,2160,36
151,2520,5760,2520,21
152,2700,7860,0,110
153,2700,7080,0,98
154,2700,6780,2700,39
155,2700,6780,2700,40
156,2700,7380,2400,59
157,2700,6360,1800,48
158,2700,6120,2700,27
159,2700,8160,1800,89
160,2700,7500,0,107
161,2700,7200,1200,142
162,2700,7080,0,97
163,2700,6360,1800,49
164,2700,8160,1800,90
165,2700,7380,2400,58
166,2700,6240,0,86
167,2700,6120,1800,17
168,2700,3720,900,16
169,2700,3660,0,30
170,2700,3660,0,31
171,2700,4500,0,45
172,2700,3780,2400,1
173,2700,4500,0,46
174,2700,3780,2400,0
175,2700,3720,900,15
176,2700,4860,2700,9
177,2700,4860,2700,8
178,2760,6660,2760,35
179,2820,7440,1800,77
180,2880,4080,2160,11
181,2880,4440,2160,10
182,2880,6420,2520,36
183,2880,6120,2880,21
184,3000,7620,1800,82
185,3000,6300,1500,55
186,3000,7800,0,109
187,3000,7500,2400,62
188,3000,5220,0,65
189,3000,9360,0,127
190,3000,7800,0,108
191,3000,9360,0,128
192,3000,5400,0,68
193,3000,8100,0,114
194,3000,7440,2760,54
195,3000,4260,1200,20
196,3000,4260,1200,18
197,3000,6000,2700,23
198,3000,6120,2400,32
199,3000,6120,2400,33
200,3060,4560,2160,13
201,3060,4560,2160,12
202,3180,7980,0,145
203,3240,6780,2880,36
204,3240,6480,3240,21
205,3300,4500,1200,22
206,3300,7260,0,99
207,3300,8040,2400,75
208,3300,4500,1200,24
209,3300,6660,1800,56
210,3300,8040,2400,76
211,3420,7920,1320,93
212,3600,7020,3600,27
213,3600,7380,3000,42
214,3600,7680,3600,40
215,3600,7680,3600,39
216,3600,11400,0,154
217,3600,7140,3240,36
218,3600,6960,3600,25
219,3600,4620,1800,16
220,3600,7260,2700,48
221,3600,7260,2700,49
222,3600,6960,2400,50
223,3600,9720,2400,104
224,3600,4620,1800,15
225,3600,9720,2400,103
226,3600,7980,900,98
227,3600,6840,3600,21
228,3600,8580,1800,146
229,3600,8580,3600,57
230,3600,8640,0,117
231,3600,8640,0,118
232,3600,8700,0,119
233,3600,8460,2640,81
234,3600,8460,2640,80
235,3600,4800,2880,11
236,3600,8340,1800,92
237,3600,11340,1800,129
238,3600,5760,3600,8
239,3600,8280,3600,53
240,3600,8100,1800,87
241,3600,5160,2880,10
242,3600,5160,3600,2
243,3600,5160,3600,3
244,3600,8100,1800,88
245,3600,9360,3600,79
246,3600,7980,900,97
247,3600,8700,0,120
248,3600,7920,3600,41
249,3600,8160,3600,52
250,3600,5760,3600,9
251,3720,8820,720,114
252,3720,8340,2700,77
253,3900,8580,3600,59
254,3900,8580,3600,58
255,3900,8520,2700,82
256,3900,7920,0,111
257,3900,7380,1800,74
258,3900,8400,2400,142
259,3900,7380,1800,73
260,3900,10740,0,137
261,3900,6000,0,83
262,3900,4980,3600,0
263,3900,4860,1200,31
264,3900,4980,3600,1
265,3900,6900,3600,23
266,3900,10740,0,138
267,3900,4860,1200,30
268,3960,7500,3600,36
269,3960,7200,3960,21
270,4020,7680,3600,38
271,4140,5640,3240,13
272,4140,5640,3240,12
273,4140,8040,4140,35
274,4200,7320,1800,70
275,4200,12240,3300,124
276,4200,12240,3300,125
277,4200,9000,1200,109
278,4200,10740,3300,106
279,4200,10740,3300,105
280,4200,7620,3300,17
281,4200,9000,1200,108
282,4200,5460,2400,20
283,4200,5640,0,78
284,4200,9840,3000,94
285,4200,8160,3600,51
286,4200,5460,2400,18
287,4200,7320,3600,33
288,4200,7320,3600,32
289,4200,8700,3600,62
290,4320,7860,3960,36
291,4320,5520,3600,11
292,4320,7560,4320,21
293,4320,5880,3600,10
294,4380,8820,4140,54
295,4440,9540,1440,114
296,4500,8160,3600,49
297,4500,9240,3600,76
298,4500,9240,3600,75
299,4500,8040,1800,86
300,4500,8160,3600,48
301,4500,6660,4500,8
302,4500,9300,1800,107
303,4500,5520,2700,15
304,4500,6660,4500,9
305,4500,5520,2700,16
306,4500,8940,3600,66
307,4500,8580,4500,39
308,4500,5700,2400,22
309,4500,5700,2400,24
310,4500,7920,4500,27
311,4500,8580,4500,40
312,4500,7800,3000,55
313,4500,7320,0,100
314,4500,8880,1800,97
315,4500,9960,3600,90
316,4500,9660,1800,110
317,4500,8880,1800,98
318,4500,9960,3600,89
319,4500,8940,3600,67
320,4620,9240,3600,77
321,4680,7920,4680,21
322,4680,8220,4320,36
323,4740,9240,2640,93
324,4800,7140,900,83
325,4800,8160,3600,50
326,4800,10920,3600,104
327,4800,10920,3600,103
328,4800,7800,4500,23
329,4800,11160,1800,128
330,4800,9420,3600,82
331,4800,7020,1800,65
332,4800,11160,1800,127
333,4920,9780,3960,80
334,4920,9780,3960,81
335,4980,9780,1800,145
336,5040,8280,5040,21
337,5040,8580,4680,36
338,5040,15720,3600,141
339,5040,6240,4320,11
340,5040,6600,4320,10
341,5100,6060,2400,30
342,5100,8460,3600,56
343,5100,8880,4500,42
344,5100,6060,2400,31
345,5100,6180,4800,1
346,5100,9780,4800,58
347,5100,6180,4800,0
348,5100,9060,1800,99
349,5100,9780,4800,59
350,5100,9600,3600,142
351,5160,10260,2160,114
352,5220,6720,4320,12
353,5220,6720,4320,13
354,5400,9960,5400,52
355,5400,9060,4500,48
356,5400,9900,3600,87
357,5400,13200,1800,154
358,5400,13140,3600,129
359,5400,9840,0,131
360,5400,9900,4800,62
361,5400,10080,5400,53
362,5400,9780,2700,98
363,5400,10140,3600,92
364,5400,10380,3600,146
365,5400,9720,5400,41
366,5400,10380,5400,57
367,5400,9480,5400,39
368,5400,9480,5400,40
369,5400,8940,5040,36
370,5400,9060,4500,49
371,5400,8820,5400,27
372,5400,9780,2700,97
373,5400,9840,0,130
374,5400,7560,5400,9
375,5400,6960,5400,3
376,5400,8040,3600,43
377,5400,7740,0,122
378,5400,7560,5400,8
379,5400,6420,3600,16
380,5400,6420,3600,15
381,5400,6660,3600,18
382,5400,6960,5400,2
383,5400,6660,3600,20
384,5400,8040,3600,44
385,5400,8520,4800,32
386,5400,8520,4800,33
387,5400,8760,5400,25
388,5400,8640,5400,21
389,5520,9420,5520,35
390,5520,10140,4500,77
391,5700,10440,0,134
392,5700,12540,1800,138
393,5700,10440,4800,75
394,5700,9960,0,159
395,5700,6900,3600,24
396,5700,6900,3600,22
397,5700,10320,4500,82
398,5700,12540,1800,137
399,5700,9720,1800,111
400,5700,10440,0,135
401,5700,10440,4800,76
402,5700,9180,3600,74
403,5700,9120,4800,17
404,5700,8700,5400,23
405,5700,9180,3600,73
406,5760,6960,5040,11
407,5760,10200,5520,54
408,5760,9000,5760,21
409,5760,7320,5040,10
410,5760,9300,5400,36
411,5820,9480,5400,38
412,5820,10320,0,133
413,5880,10980,2880,114
414,6000,12120,4800,104
415,6000,8340,2100,83
416,6000,9960,5400,51
417,6000,9120,3600,70
418,6000,12120,4800,103
419,6000,7440,1800,78
420,6000,10260,0,132
421,6000,9360,4800,50
422,6000,9300,4500,55
423,6060,10560,3960,93
424,6120,9360,6120,21
425,6120,9660,5760,36
426,6240,11100,5280,80
427,6240,11100,5280,81
428,6300,9840,3600,86
429,6300,7380,6000,0
430,6300,11760,5400,90
431,6300,7320,4500,16
432,6300,7320,4500,15
433,6300,10800,4800,142
434,6300,7260,3600,31
435,6300,8460,6300,8
436,6300,10680,3600,98
437,6300,11460,3600,110
438,6300,8460,6300,9
439,6300,10380,6300,40
440,6300,10380,6300,39
441,6300,10020,0,162
442,6300,10680,3600,97
443,6300,7260,3600,30
444,6300,11760,5400,89
445,6300,11100,3600,107
446,6300,10980,6000,58
447,6300,10980,6000,59
448,6300,7380,6000,1
449,6300,7800,5400,13
450,6300,7800,5400,12
451,6300,9720,6300,27
452,6420,11040,5400,77
453,6480,8040,5760,10
454,6480,10020,6120,36
455,6480,9720,6480,21
456,6480,7680,5760,11
457,6600,11280,0,140
458,6600,11100,6000,62
459,6600,10380,6000,42
460,6600,11220,5400,82
461,6600,7860,4800,20
462,6600,7860,4800,18
463,6600,11700,3600,114
464,6600,9600,6300,23
465,6600,13680,0,149
466,6600,9720,6000,33
467,6600,9720,6000,32
468,6780,11580,3600,145
469,6840,10080,6840,21
470,6840,10380,6480,36
471,6900,11640,6000,75
472,6900,11640,6000,76
473,6900,8100,4800,22
474,6900,10800,6900,35
475,6900,10860,3600,99
476,6900,10260,5400,56
477,6900,8100,4800,24
478,7140,11580,6900,54
479,7200,10560,6000,50
480,7200,10560,7200,25
481,7200,11580,4500,97
482,7200,11940,5400,92
483,7200,11880,7200,53
484,7200,11280,7200,40
485,7200,10620,7200,27
486,7200,10620,6300,17
487,7200,11280,7200,39
488,7200,10740,6840,36
489,7200,11700,5400,87
490,7200,12180,7200,57
491,7200,11760,7200,52
492,7200,11580,4500,98
493,7200,12180,5400,146
494,7200,8760,7200,2
495,7200,10440,7200,21
496,7200,13320,6000,104
497,7200,13320,6000,103
498,7200,9360,7200,9
499,7200,8220,5400,15
500,7200,8220,5400,16
501,7200,14940,5400,129
502,7200,15000,3600,154
503,7200,8400,6480,11
504,7200,8760,6480,10
505,7200,12960,7200,79
506,7200,9360,7200,8
507,7200,11520,7200,41
508,7200,10200,0,143
509,7200,10200,0,144
510,7200,8760,7200,3
511,7260,10500,0,136
512,7320,11940,6300,77
513,7320,12420,4320,114
514,7380,11880,5280,93
515,7380,8880,6480,12
516,7380,8880,6480,13
517,7500,8460,4800,31
518,7500,12120,6300,82
519,7500,8580,7200,0
520,7500,14340,3600,138
521,7500,12180,7200,59
522,7500,8580,7200,1
523,7500,12180,7200,58
524,7500,10500,7200,23
525,7500,12000,6000,142
526,7500,10800,6000,55
527,7500,14340,3600,137
528,7500,8460,4800,30
529,7560,12420,6600,81
530,7560,12420,6600,80
531,7560,10800,7560,21
532,7560,11100,7200,36
533,7620,11280,7200,38
534,7800,9060,6000,18
535,7800,9060,6000,20
536,7800,10920,7200,32
537,7800,11760,7200,51
538,7800,10920,7200,33
539,7800,10920,5400,70
540,7800,9240,3600,78
541,7800,12300,7200,62
542,7920,9480,7200,10
543,7920,11460,7560,36
544,7920,9120,7200,11
545,7920,11160,7920,21
546,8040,13140,5040,114
547,8100,12180,8100,39
548,8100,12840,7200,76
549,8100,12180,8100,40
550,8100,12840,7200,75
551,8100,13560,7200,89
552,8100,12480,5400,97
553,8100,13560,7200,90
554,8100,11880,7500,42
555,8100,12480,5400,98
556,8100,12900,5400,107
557,8100,12540,7200,66
558,8100,12540,7200,67
559,8100,13260,5400,110
560,8100,11520,8100,27
561,8100,10260,8100,8
562,8100,11340,0,147
563,8100,9120,6300,16
564,8100,9300,6000,22
565,8100,10260,8100,9
566,8100,9120,6300,15
567,8100,9300,6000,24
568,8280,12180,8280,35
569,8280,11520,8280,21
570,8280,11820,7920,36
571,8400,14520,7200,103
572,8400,13020,7200,82
573,8400,11400,8100,23
574,8400,14520,7200,104
575,8400,11760,7200,50
576,8460,9960,7560,13
577,8460,9960,7560,12
578,8460,11520,1200,136
579,8520,12960,8280,54
580,8520,11280,4020,100
581,8580,13380,5400,145
582,8640,19320,7200,141
583,8640,11880,8640,21
584,8640,10200,7920,10
585,8640,9840,7920,11
586,8640,12180,8280,36
587,8700,9660,6000,30
588,8700,9660,6000,31
589,8700,12060,7200,56
590,8700,9780,8400,1
591,8700,13380,8400,59
592,8700,11640,0,152
593,8700,13200,7200,142
594,8700,13200,6600,93
595,8700,13380,8400,58
596,8700,9780,8400,0
597,8760,13860,5760,114
598,8880,13740,7920,81
599,8880,13740,7920,80
600,9000,13500,8400,62
601,9000,12360,9000,25
602,9000,13560,9000,52
603,9000,13500,7200,87
604,9000,12420,9000,27
605,9000,13980,7200,146
606,9000,10260,7200,18
607,9000,11640,7200,44
608,9000,13080,9000,40
609,9000,11640,7200,43
610,9000,13080,9000,39
611,9000,13980,9000,57
612,9000,12540,8640,36
613,9000,10260,7200,20
614,9000,10020,7200,15
615,9000,10020,7200,16
616,9000,16800,5400,154
617,9000,12300,7500,55
618,9000,11160,9000,8
619,9000,11160,9000,9
620,9000,13380,6300,98
621,9000,12000,1800,144
622,9000,13680,9000,53
623,9000,13320,9000,41
624,9000,13440,0,165
625,9000,13380,6300,97
626,9000,12120,8400,32
627,9000,12120,8400,33
628,9000,13740,7200,92
629,9000,16740,7200,129
630,9000,10560,9000,3
631,9000,10560,9000,2
632,9000,12240,9000,21
633,9300,13740,0,161
634,9300,12300,9000,23
635,9300,16140,5400,137
636,9300,16140,5400,138
637,9300,14040,8400,75
638,9300,14040,8400,76
639,9360,10920,8640,10
640,9360,12900,9000,36
641,9360,12600,9360,21
642,9360,10560,8640,11
643,9420,13080,9000,38
644,9480,14580,6480,114
645,9540,11040,8640,12
646,9540,11040,8640,13
647,9600,13380,9000,42
648,9600,12960,8400,50
649,9600,13560,9000,51
650,9600,12840,1500,147
651,9600,12720,7200,70
652,9600,12720,2340,136
653,9600,11880,5700,83
654,9600,11040,5400,78
655,9600,15720,8400,104
656,9600,15720,8400,103
657,9660,13560,9660,35
658,9720,12960,9720,21
659,9720,13260,9360,36
660,9840,14340,4020,133
661,9900,10980,9600,0
662,9900,10980,9600,1
663,9900,12060,9900,9
664,9900,13320,9900,27
665,9900,13980,9900,40
666,9900,14700,7200,107
667,9900,15360,9000,89
668,9900,15360,9000,90
669,9900,12060,9900,8
670,9900,13980,9900,39
671,9900,14580,9600,58
672,9900,10920,8100,15
673,9900,14280,7200,97
674,9900,14280,7200,98
675,9900,10920,8100,16
676,9900,12600,5400,100
677,9900,14340,9660,54
678,9900,14400,8400,142
679,9900,10860,7200,30
680,9900,14580,9600,59
681,9900,10860,7200,31
682,10020,14520,7920,93
683,10080,13620,9720,36
684,10080,13320,10080,21
685,10080,11640,9360,10
686,10080,11280,9360,11
687,10200,14700,9600,62
688,10200,15060,9240,80
689,10200,15060,9240,81
690,10200,15300,7200,114
691,10200,14820,3600,140
692,10200,13320,9600,32
693,10200,11460,8400,18
694,10200,11460,8400,20
695,10200,13200,9900,23
696,10200,17280,3600,149
697,10200,13320,9600,33
698,10380,15180,7200,145
699,10440,13980,10080,36
700,10440,13680,10440,21
701,10500,15300,0,179
702,10500,15240,9600,75
703,10500,13800,9000,55
704,10500,13860,9000,56
705,10500,15240,9600,76
706,10620,12120,9720,12
707,10620,12120,9720,13
708,10800,16560,10800,79
709,10800,12360,10800,2
710,10800,12360,10080,10
711,10800,12360,10800,3
712,10800,15780,10800,57
713,10800,18540,9000,129
714,10800,14340,10440,36
715,10800,18600,7200,154
716,10800,15780,9000,146
717,10800,12000,10080,11
718,10800,15360,10800,52
719,10800,14880,10800,40
720,10800,11820,9000,15
721,10800,15540,9000,92
722,10800,15480,10800,53
723,10800,14880,10800,39
724,10800,11820,9000,16
725,10800,15300,9000,87
726,10800,12960,10800,9
727,10800,14220,10800,27
728,10800,15180,8100,97
729,10800,12960,10800,8
730,10800,13140,6900,83
731,10800,14160,10800,25
732,10800,16920,9600,103
733,10800,15180,8100,98
734,10800,14160,9600,50
735,10800,16920,9600,104
736,10800,14040,10800,21
737,10800,15120,10800,41
738,10920,13860,3660,136
739,10920,16020,7920,114
740,11040,14940,11040,35
741,11100,12180,10800,1
742,11100,14880,10500,42
743,11100,15600,9600,142
744,11100,15780,10800,59
745,11100,12180,10800,0
746,11100,17940,7200,137
747,11100,15780,10800,58
748,11100,17940,7200,138
749,11100,14100,10800,23
750,11160,14700,10800,36
751,11160,14400,11160,21
752,11220,15720,5400,133
753,11220,14880,10800,38
754,11280,15720,11040,54
755,11340,15840,9240,93
756,11400,15360,10800,51
757,11400,12660,9600,20
758,11400,15900,10800,62
759,11400,12660,9600,18
760,11400,14520,9000,70
761,11400,14520,10800,33
762,11400,14520,10800,32
763,11400,12840,7200,78
764,11520,15060,11160,36
765,11520,16380,10560,80
766,11520,13080,10800,10
767,11520,12720,10800,11
768,11520,16380,10560,81
769,11520,14760,11520,21
770,11640,16740,8640,114
771,11700,16500,9000,107
772,11700,15780,11700,40
773,11700,16080,9000,98
774,11700,16080,9000,97
775,11700,16140,10800,66
776,11700,17160,10800,90
777,11700,17160,10800,89
778,11700,16440,10800,75
779,11700,16440,10800,76
780,11700,15420,5400,162
781,11700,15780,11700,39
782,11700,16140,10800,67
783,11700,15120,11700,27
784,11700,13200,10800,12
785,11700,13860,11700,8
786,11700,13860,11700,9
787,11700,12720,9900,16
788,11700,12720,9900,15
789,11700,13200,10800,13
790,11880,15120,11880,21
791,11880,15420,11520,36
792,12000,14400,8100,83
793,12000,18120,10800,104
794,12000,18120,10800,103
795,12000,15360,10800,50
796,12000,15360,4740,136
797,12000,15000,11700,23
798,12240,13800,11520,10
799,12240,15480,12240,21
800,12240,22920,10800,141
801,12240,13440,11520,11
802,12240,15780,11880,36
803,12300,13380,12000,0
804,12300,16980,12000,58
805,12300,16980,12000,59
806,12300,13380,12000,1
807,12300,16800,10800,142
808,12300,15660,10800,56
809,12360,17460,9360,114
810,12420,16320,12420,35
811,12600,15960,12600,25
812,12600,17580,10800,146
813,12600,14160,12600,2
814,12600,13620,10800,16
815,12600,13620,10800,15
816,12600,15240,10800,44
817,12600,20400,9000,154
818,12600,15240,10800,43
819,12600,16140,12240,36
820,12600,17580,12600,57
821,12600,13860,10800,20
822,12600,17160,12600,52
823,12600,13860,10800,18
824,12600,17340,10800,92
825,12600,16380,12000,42
826,12600,16020,12600,27
827,12600,14160,12600,3
828,12600,16920,12600,41
829,12600,16680,12600,40
830,12600,15300,0,156
831,12600,20340,10800,129
832,12600,15300,0,157
833,12600,16980,9900,97
834,12600,14760,12600,8
835,12600,16980,9900,98
836,12600,14760,12600,9
837,12600,17100,10800,87
838,12600,16680,12600,39
839,12600,15720,12000,33
840,12600,15840,12600,21
841,12600,17100,12000,62
842,12600,17280,12600,53
843,12600,15720,12000,32
844,12660,17100,12420,54
845,12660,17160,10560,93
846,12780,14280,11880,13
847,12780,14280,11880,12
848,12840,17700,11880,80
849,12840,17700,11880,81
850,12900,17160,7200,159
851,12900,17640,12000,76
852,12900,19740,9000,137
853,12900,15900,12600,23
854,12900,15900,5700,143
855,12900,19740,9000,138
856,12900,17640,12000,75
857,12960,16500,12600,36
858,12960,14520,12240,10
859,12960,14160,12240,11
860,12960,16200,12960,21
861,13020,16680,12600,38
862,13080,18180,10080,114
863,13200,14640,9000,78
864,13200,17160,12600,51
865,13200,16560,12000,50
866,13200,19320,12000,103
867,13200,16260,11700,55
868,13200,16320,10800,70
869,13200,19320,12000,104
870,13200,19260,0,168
871,13260,16320,6000,136
872,13320,16860,12960,36
873,13320,16560,13320,21
874,13500,18960,12600,89
875,13500,17880,10800,97
876,13500,18300,10800,107
877,13500,18180,13200,59
878,13500,18180,13200,58
879,13500,17880,10800,98
880,13500,17580,13500,40
881,13500,17580,13500,39
882,13500,17280,0,160
883,13500,18960,12600,90
884,13500,16920,13500,27
885,13500,18000,12000,142
886,13500,14520,11700,15
887,13500,16200,0,158
888,13500,14520,11700,16
889,13500,15660,13500,8
890,13500,15660,13500,9
891,13500,14580,13200,1
892,13500,14580,13200,0
893,13680,17220,13320,36
894,13680,16920,13680,21
895,13680,14880,12960,11
896,13680,15240,12960,10
897,13800,16920,13200,32
898,13800,16920,13200,33
899,13800,18900,10800,114
900,13800,15060,12000,18
901,13800,18480,7200,140
902,13800,15060,12000,20
903,13800,17700,13800,35
904,13800,18300,13200,62
905,13800,16800,13500,23
906,13800,20280,0,178
907,13800,20880,7200,149
908,13860,15360,12960,12
909,13860,15360,12960,13
910,13980,18780,10800,145
911,13980,18480,11880,93
912,14040,18480,13800,54
913,14040,17280,14040,21
914,14040,17580,13680,36
915,14100,18840,13200,76
916,14100,17460,12600,56
917,14100,18840,13200,75
918,14100,17880,13500,42
919,14100,18960,0,302
920,14160,19020,13200,81
921,14160,19020,13200,80
922,14400,15600,13680,11
923,14400,19380,12600,146
924,14400,21540,0,193
925,14400,19380,14400,57
926,14400,20160,14400,79
927,14400,20520,13200,103
928,14400,17940,14040,36
929,14400,18480,14400,39
930,14400,22140,12600,129
931,14400,19140,12600,92
932,14400,18840,5400,165
933,14400,18540,0,164
934,14400,18960,14400,52
935,14400,15420,12600,15
936,14400,18720,14400,41
937,14400,18780,11700,97
938,14400,18780,11700,98
939,14400,15420,12600,16
940,14400,22200,10800,154
941,14400,18900,12600,87
942,14400,18480,14400,40
943,14400,19080,14400,53
944,14400,20520,13200,104
945,14400,17820,14400,27
946,14400,17100,1800,157
947,14400,16560,14400,9
948,14400,16560,14400,8
949,14400,17100,1800,156
950,14400,17400,7200,143
951,14400,15960,13680,10
952,14400,15960,14400,2
953,14400,15960,14400,3
954,14400,17640,14400,21
955,14400,17760,14400,25
956,14400,17760,13200,50
957,14400,17400,7200,144
958,14400,16860,10500,83
959,14520,19620,11520,114
960,14520,17700,7260,136
961,14700,18480,1200,160
962,14700,17700,14400,23
963,14700,15780,14400,1
964,14700,19200,13200,142
965,14700,15780,14400,0
966,14700,20220,0,176
967,14700,21540,10800,137
968,14700,19380,14400,59
969,14700,19380,14400,58
970,14700,21540,10800,138
971,14760,18300,14400,36
972,14760,18000,14760,21
973,14820,18480,14400,38
974,14940,16440,14040,12
975,14940,16440,14040,13
976,15000,16260,13200,20
977,15000,16260,13200,18
978,15000,20940,0,183
979,15000,17940,6300,152
980,15000,20940,0,182
981,15000,21060,1800,168
982,15000,16440,10800,78
983,15000,19500,14400,62
984,15000,18960,14400,51
985,15000,18120,12600,70
986,15000,18120,14400,32
987,15000,18120,14400,33
988,15000,18300,13500,55
989,15120,18360,15120,21
990,15120,16680,14400,10
991,15120,18660,14760,36
992,15120,16320,14400,11
993,15180,19080,15180,35
994,15240,20340,12240,114
995,15300,19380,15300,39
996,15300,18900,0,166
997,15300,19380,15300,40
998,15300,20040,14400,76
999,15300,16320,13500,16
1000,15300,18900,0,167
1001,15300,19680,12600,97
1002,15300,16320,13500,15
1003,15300,19680,12600,98
1004,15300,20760,14400,89
1005,15300,19740,14400,66
1006,15300,17460,15300,9
1007,15300,20040,14400,75
1008,15300,17460,15300,8
1009,15300,19740,14400,67
1010,15300,18720,15300,27
1011,15300,20760,14400,90
1012,15300,20100,12600,107
1013,15300,19800,13200,93
1014,15300,18180,10800,100
1015,15420,19860,15180,54
1016,15480,19020,15120,36
1017,15480,20340,14520,81
1018,15480,20340,14520,80
1019,15480,18720,15480,21
1020,15600,18000,11700,83
1021,15600,18960,14400,50
1022,15600,18600,15300,23
1023,15600,21720,14400,103
1024,15600,19380,15000,42
1025,15600,21720,14400,104
1026,15780,20580,12600,145
1027,15840,19080,15840,21
1028,15840,19380,15480,36
1029,15840,17040,15120,11
1030,15840,17400,15120,10
1031,15840,26520,14400,141
1032,15900,16980,15600,0
1033,15900,20040,1500,164
1034,15900,20580,15600,59
1035,15900,19260,14400,56
1036,15900,16980,15600,1
1037,15900,20400,14400,142
1038,15900,19680,2400,160
1039,15900,20580,15600,58
1040,15900,21420,1200,176
1041,15960,21060,12960,114
1042,16020,17520,15120,13
1043,16020,17520,15120,12
1044,16200,19740,15840,36
1045,16200,21180,16200,57
1046,16200,21180,14400,146
1047,16200,19620,16200,27
1048,16200,20700,15600,62
1049,16200,20040,0,175
1050,16200,20640,10800,131
1051,16200,20880,16200,53
1052,16200,20580,13500,97
1053,16200,20700,14400,87
1054,16200,20640,10800,130
1055,16200,20280,16200,39
1056,16200,20760,16200,52
1057,16200,20280,16200,40
1058,16200,20940,14400,92
1059,16200,20580,13500,98
1060,16200,18840,14400,44
1061,16200,17460,14400,20
1062,16200,18840,14400,43
1063,16200,17460,14400,18
1064,16200,17220,14400,16
1065,16200,17220,14400,15
1066,16200,22800,0,238
1067,16200,22800,0,234
1068,16200,20520,16200,41
1069,16200,18360,16200,9
1070,16200,18360,16200,8
1071,16200,18900,3600,156
1072,16200,18900,3600,157
1073,16200,19320,15600,33
1074,16200,17760,16200,3
1075,16200,19440,16200,21
1076,16200,17760,16200,2
1077,16200,23940,14400,129
1078,16200,19560,16200,25
1079,16200,24000,12600,154
1080,16200,19320,15600,32
1081,16500,23340,12600,137
1082,16500,23340,12600,138
1083,16500,20100,1200,167
1084,16500,20100,1200,166
